,행정구역,2025년04월_계_총인구수,2025년04월_계_연령구간인구수,2025년04월_계_0~9세,2025년04월_계_10~19세,2025년04월_계_20~29세,2025년04월_계_30~39세,2025년04월_계_40~49세,2025년04월_계_50~59세,2025년04월_계_60~69세,2025년04월_계_70~79세,2025년04월_계_80~89세,2025년04월_계_90~99세,2025년04월_계_100세 이상,2025년04월_남_총인구수,2025년04월_남_연령구간인구수,2025년04월_남_0~9세,2025년04월_남_10~19세,2025년04월_남_20~29세,2025년04월_남_30~39세,2025년04월_남_40~49세,2025년04월_남_50~59세,2025년04월_남_60~69세,2025년04월_남_70~79세,2025년04월_남_80~89세,2025년04월_남_90~99세,2025년04월_남_100세 이상,2025년04월_여_총인구수,2025년04월_여_연령구간인구수,2025년04월_여_0~9세,2025년04월_여_10~19세,2025년04월_여_20~29세,2025년04월_여_30~39세,2025년04월_여_40~49세,2025년04월_여_50~59세,2025년04월_여_60~69세,2025년04월_여_70~79세,2025년04월_여_80~89세,2025년04월_여_90~99세,2025년04월_여_100세 이상,2025년05월_계_총인구수,2025년05월_계_연령구간인구수,2025년05월_계_0~9세,2025년05월_계_10~19세,2025년05월_계_20~29세,2025년05월_계_30~39세,2025년05월_계_40~49세,2025년05월_계_50~59세,2025년05월_계_60~69세,2025년05월_계_70~79세,2025년05월_계_80~89세,2025년05월_계_90~99세,2025년05월_계_100세 이상,2025년05월_남_총인구수,2025년05월_남_연령구간인구수,2025년05월_남_0~9세,2025년05월_남_10~19세,2025년05월_남_20~29세,2025년05월_남_30~39세,2025년05월_남_40~49세,2025년05월_남_50~59세,2025년05월_남_60~69세,2025년05월_남_70~79세,2025년05월_남_80~89세,2025년05월_남_90~99세,2025년05월_남_100세 이상,2025년05월_여_총인구수,2025년05월_여_연령구간인구수,2025년05월_여_0~9세,2025년05월_여_10~19세,2025년05월_여_20~29세,2025년05월_여_30~39세,2025년05월_여_40~49세,2025년05월_여_50~59세,2025년05월_여_60~69세,2025년05월_여_70~79세,2025년05월_여_80~89세,2025년05월_여_90~99세,2025년05월_여_100세 이상,2025년06월_계_총인구수,2025년06월_계_연령구간인구수,2025년06월_계_0~9세,2025년06월_계_10~19세,2025년06월_계_20~29세,2025년06월_계_30~39세,2025년06월_계_40~49세,2025년06월_계_50~59세,2025년06월_계_60~69세,2025년06월_계_70~79세,2025년06월_계_80~89세,2025년06월_계_90~99세,2025년06월_계_100세 이상,2025년06월_남_총인구수,2025년06월_남_연령구간인구수,2025년06월_남_0~9세,2025년06월_남_10~19세,2025년06월_남_20~29세,2025년06월_남_30~39세,2025년06월_남_40~49세,2025년06월_남_50~59세,2025년06월_남_60~69세,2025년06월_남_70~79세,2025년06월_남_80~89세,2025년06월_남_90~99세,2025년06월_남_100세 이상,2025년06월_여_총인구수,2025년06월_여_연령구간인구수,2025년06월_여_0~9세,2025년06월_여_10~19세,2025년06월_여_20~29세,2025년06월_여_30~39세,2025년06월_여_40~49세,2025년06월_여_50~59세,2025년06월_여_60~69세,2025년06월_여_70~79세,2025년06월_여_80~89세,2025년06월_여_90~99세,2025년06월_여_100세 이상,2025년07월_계_총인구수,2025년07월_계_연령구간인구수,2025년07월_계_0~9세,2025년07월_계_10~19세,2025년07월_계_20~29세,2025년07월_계_30~39세,2025년07월_계_40~49세,2025년07월_계_50~59세,2025년07월_계_60~69세,2025년07월_계_70~79세,2025년07월_계_80~89세,2025년07월_계_90~99세,2025년07월_계_100세 이상,2025년07월_남_총인구수,2025년07월_남_연령구간인구수,2025년07월_남_0~9세,2025년07월_남_10~19세,2025년07월_남_20~29세,2025년07월_남_30~39세,2025년07월_남_40~49세,2025년07월_남_50~59세,2025년07월_남_60~69세,2025년07월_남_70~79세,2025년07월_남_80~89세,2025년07월_남_90~99세,2025년07월_남_100세 이상,2025년07월_여_총인구수,2025년07월_여_연령구간인구수,2025년07월_여_0~9세,2025년07월_여_10~19세,2025년07월_여_20~29세,2025년07월_여_30~39세,2025년07월_여_40~49세,2025년07월_여_50~59세,2025년07월_여_60~69세,2025년07월_여_70~79세,2025년07월_여_80~89세,2025년07월_여_90~99세,2025년07월_여_100세 이상,2025년08월_계_총인구수,2025년08월_계_연령구간인구수,2025년08월_계_0~9세,2025년08월_계_10~19세,2025년08월_계_20~29세,2025년08월_계_30~39세,2025년08월_계_40~49세,2025년08월_계_50~59세,2025년08월_계_60~69세,2025년08월_계_70~79세,2025년08월_계_80~89세,2025년08월_계_90~99세,2025년08월_계_100세 이상,2025년08월_남_총인구수,2025년08월_남_연령구간인구수,2025년08월_남_0~9세,2025년08월_남_10~19세,2025년08월_남_20~29세,2025년08월_남_30~39세,2025년08월_남_40~49세,2025년08월_남_50~59세,2025년08월_남_60~69세,2025년08월_남_70~79세,2025년08월_남_80~89세,2025년08월_남_90~99세,2025년08월_남_100세 이상,2025년08월_여_총인구수,2025년08월_여_연령구간인구수,2025년08월_여_0~9세,2025년08월_여_10~19세,2025년08월_여_20~29세,2025년08월_여_30~39세,2025년08월_여_40~49세,2025년08월_여_50~59세,2025년08월_여_60~69세,2025년08월_여_70~79세,2025년08월_여_80~89세,2025년08월_여_90~99세,2025년08월_여_100세 이상,2025년09월_계_총인구수,2025년09월_계_연령구간인구수,2025년09월_계_0~9세,2025년09월_계_10~19세,2025년09월_계_20~29세,2025년09월_계_30~39세,2025년09월_계_40~49세,2025년09월_계_50~59세,2025년09월_계_60~69세,2025년09월_계_70~79세,2025년09월_계_80~89세,2025년09월_계_90~99세,2025년09월_계_100세 이상,2025년09월_남_총인구수,2025년09월_남_연령구간인구수,2025년09월_남_0~9세,2025년09월_남_10~19세,2025년09월_남_20~29세,2025년09월_남_30~39세,2025년09월_남_40~49세,2025년09월_남_50~59세,2025년09월_남_60~69세,2025년09월_남_70~79세,2025년09월_남_80~89세,2025년09월_남_90~99세,2025년09월_남_100세 이상,2025년09월_여_총인구수,2025년09월_여_연령구간인구수,2025년09월_여_0~9세,2025년09월_여_10~19세,2025년09월_여_20~29세,2025년09월_여_30~39세,2025년09월_여_40~49세,2025년09월_여_50~59세,2025년09월_여_60~69세,2025년09월_여_70~79세,2025년09월_여_80~89세,2025년09월_여_90~99세,2025년09월_여_100세 이상
1,종로구,"138,096","138,096","5,314","9,409","20,769","19,746","18,374","23,228","21,000","12,191","6,886","1,136",43,"66,413","66,413","2,701","4,611","9,698","9,874","8,866","11,445","10,509","5,582","2,756",357,14,"71,683","71,683","2,613","4,798","11,071","9,872","9,508","11,783","10,491","6,609","4,130",779,29,"138,049","138,049","5,311","9,388","20,717","19,785","18,365","23,197","20,979","12,205","6,915","1,147",40,"66,336","66,336","2,691","4,598","9,672","9,881","8,839","11,423","10,499","5,599","2,762",360,12,"71,713","71,713","2,620","4,790","11,045","9,904","9,526","11,774","10,480","6,606","4,153",787,28,"138,015","138,015","5,298","9,361","20,637","19,860","18,370","23,176","20,957","12,240","6,930","1,147",39,"66,315","66,315","2,698","4,586","9,630","9,900","8,839","11,416","10,479","5,620","2,773",361,13,"71,700","71,700","2,600","4,775","11,007","9,960","9,531","11,760","10,478","6,620","4,157",786,26,"137,857","137,857","5,271","9,323","20,534","19,899","18,362","23,141","20,943","12,244","6,943","1,159",38,"66,201","66,201","2,685","4,553","9,593","9,914","8,822","11,401","10,467","5,612","2,780",361,13,"71,656","71,656","2,586","4,770","10,941","9,985","9,540","11,740","10,476","6,632","4,163",798,25,"137,583","137,583","5,227","9,310","20,459","19,880","18,288","23,036","20,931","12,311","6,927","1,174",40,"66,057","66,057","2,672","4,551","9,550","9,910","8,799","11,311","10,469","5,651","2,767",364,13,"71,526","71,526","2,555","4,759","10,909","9,970","9,489","11,725","10,462","6,660","4,160",810,27,"137,545","137,545","5,196","9,334","20,392","19,875","18,316","22,973","20,927","12,396","6,916","1,182",38,"66,032","66,032","2,664","4,573","9,492","9,908","8,828","11,256","10,472","5,702","2,758",366,13,"71,513","71,513","2,532","4,761","10,900","9,967","9,488","11,717","10,455","6,694","4,158",816,25
2,중구,"119,601","119,601","5,162","5,913","16,421","21,348","16,277","18,349","18,167","11,163","5,819",961,21,"57,556","57,556","2,638","2,931","7,316","10,663","8,231","9,224","8,998","5,084","2,211",253,7,"62,045","62,045","2,524","2,982","9,105","10,685","8,046","9,125","9,169","6,079","3,608",708,14,"119,336","119,336","5,111","5,904","16,348","21,328","16,231","18,271","18,139","11,194","5,821",968,21,"57,376","57,376","2,611","2,931","7,268","10,634","8,209","9,168","8,992","5,097","2,208",250,8,"61,960","61,960","2,500","2,973","9,080","10,694","8,022","9,103","9,147","6,097","3,613",718,13,"119,097","119,097","5,096","5,899","16,260","21,295","16,204","18,217","18,086","11,210","5,838",971,21,"57,267","57,267","2,605","2,935","7,233","10,619","8,190","9,150","8,954","5,110","2,211",252,8,"61,830","61,830","2,491","2,964","9,027","10,676","8,014","9,067","9,132","6,100","3,627",719,13,"118,861","118,861","5,045","5,878","16,163","21,272","16,207","18,191","18,024","11,229","5,855",976,21,"57,098","57,098","2,576","2,913","7,173","10,595","8,176","9,136","8,927","5,113","2,229",252,8,"61,763","61,763","2,469","2,965","8,990","10,677","8,031","9,055","9,097","6,116","3,626",724,13,"118,621","118,621","5,034","5,848","16,083","21,209","16,171","18,141","17,998","11,267","5,860",988,22,"56,981","56,981","2,577","2,902","7,145","10,549","8,160","9,107","8,903","5,144","2,230",256,8,"61,640","61,640","2,457","2,946","8,938","10,660","8,011","9,034","9,095","6,123","3,630",732,14,"118,458","118,458","5,011","5,849","15,996","21,219","16,190","18,056","17,982","11,315","5,831",988,21,"56,869","56,869","2,559","2,901","7,108","10,548","8,152","9,055","8,897","5,165","2,220",257,7,"61,589","61,589","2,452","2,948","8,888","10,671","8,038","9,001","9,085","6,150","3,611",731,14
3,용산구,"203,350","203,350","10,110","12,839","27,485","36,809","29,194","32,472","28,419","15,790","8,678","1,502",52,"97,097","97,097","5,137","6,506","12,422","18,042","14,460","15,715","13,905","7,116","3,291",485,18,"106,253","106,253","4,973","6,333","15,063","18,767","14,734","16,757","14,514","8,674","5,387","1,017",34,"203,287","203,287","10,077","12,851","27,334","36,887","29,191","32,433","28,387","15,862","8,708","1,507",50,"97,054","97,054","5,124","6,523","12,329","18,071","14,464","15,696","13,889","7,147","3,313",481,17,"106,233","106,233","4,953","6,328","15,005","18,816","14,727","16,737","14,498","8,715","5,395","1,026",33,"203,127","203,127","10,009","12,842","27,195","37,028","29,180","32,329","28,373","15,908","8,705","1,506",52,"96,925","96,925","5,082","6,532","12,217","18,119","14,456","15,652","13,880","7,172","3,314",482,19,"106,202","106,202","4,927","6,310","14,978","18,909","14,724","16,677","14,493","8,736","5,391","1,024",33,"202,971","202,971","9,967","12,778","27,202","37,141","29,089","32,250","28,319","15,933","8,710","1,531",51,"96,826","96,826","5,054","6,503","12,233","18,163","14,405","15,638","13,828","7,167","3,329",487,19,"106,145","106,145","4,913","6,275","14,969","18,978","14,684","16,612","14,491","8,766","5,381","1,044",32,"202,763","202,763","9,960","12,717","27,076","37,209","29,083","32,125","28,298","15,980","8,722","1,542",51,"96,688","96,688","5,048","6,469","12,131","18,211","14,392","15,591","13,813","7,182","3,343",489,19,"106,075","106,075","4,912","6,248","14,945","18,998","14,691","16,534","14,485","8,798","5,379","1,053",32,"202,636","202,636","9,914","12,705","26,947","37,266","29,087","32,021","28,332","16,034","8,720","1,559",51,"96,590","96,590","5,021","6,463","12,074","18,230","14,383","15,559","13,818","7,191","3,335",496,20,"106,046","106,046","4,893","6,242","14,873","19,036","14,704","16,462","14,514","8,843","5,385","1,063",31
4,성동구,"273,371","273,371","15,703","17,470","38,470","46,597","39,451","43,337","38,424","21,655","10,753","1,477",34,"132,167","132,167","8,118","8,639","18,435","22,886","19,740","21,221","18,818","9,729","4,170",401,10,"141,204","141,204","7,585","8,831","20,035","23,711","19,711","22,116","19,606","11,926","6,583","1,076",24,"273,305","273,305","15,645","17,449","38,367","46,683","39,454","43,239","38,421","21,724","10,802","1,486",35,"132,117","132,117","8,083","8,640","18,371","22,921","19,742","21,166","18,834","9,757","4,185",408,10,"141,188","141,188","7,562","8,809","19,996","23,762","19,712","22,073","19,587","11,967","6,617","1,078",25,"273,195","273,195","15,574","17,436","38,273","46,901","39,393","43,137","38,358","21,749","10,845","1,493",36,"132,030","132,030","8,062","8,635","18,316","22,997","19,720","21,104","18,796","9,784","4,198",409,9,"141,165","141,165","7,512","8,801","19,957","23,904","19,673","22,033","19,562","11,965","6,647","1,084",27,"272,979","272,979","15,534","17,358","38,265","46,969","39,332","43,009","38,332","21,789","10,851","1,506",34,"131,952","131,952","8,051","8,598","18,308","23,059","19,705","21,028","18,781","9,807","4,194",412,9,"141,027","141,027","7,483","8,760","19,957","23,910","19,627","21,981","19,551","11,982","6,657","1,094",25,"273,521","273,521","15,555","17,396","38,248","47,267","39,380","42,950","38,390","21,895","10,888","1,518",34,"132,198","132,198","8,054","8,608","18,272","23,240","19,725","20,993","18,813","9,864","4,206",414,9,"141,323","141,323","7,501","8,788","19,976","24,027","19,655","21,957","19,577","12,031","6,682","1,104",25,"274,195","274,195","15,599","17,355","38,314","47,688","39,475","42,933","38,406","21,958","10,903","1,530",34,"132,518","132,518","8,064","8,603","18,271","23,485","19,770","20,991","18,809","9,896","4,209",411,9,"141,677","141,677","7,535","8,752","20,043","24,203","19,705","21,942","19,597","12,062","6,694","1,119",25
5,광진구,"332,488","332,488","13,902","22,994","56,589","55,958","46,203","51,975","45,998","25,477","11,683","1,662",47,"159,310","159,310","7,084","11,616","26,031","27,857","22,580","25,185","22,050","11,581","4,827",484,15,"173,178","173,178","6,818","11,378","30,558","28,101","23,623","26,790","23,948","13,896","6,856","1,178",32,"332,900","332,900","13,885","23,023","56,540","56,282","46,220","51,886","46,026","25,581","11,737","1,672",48,"159,448","159,448","7,088","11,624","25,973","28,011","22,583","25,152","22,050","11,601","4,867",483,16,"173,452","173,452","6,797","11,399","30,567","28,271","23,637","26,734","23,976","13,980","6,870","1,189",32,"333,096","333,096","13,858","22,994","56,438","56,505","46,245","51,890","45,961","25,674","11,799","1,684",48,"159,503","159,503","7,068","11,610","25,880","28,107","22,622","25,137","22,039","11,638","4,903",482,17,"173,593","173,593","6,790","11,384","30,558","28,398","23,623","26,753","23,922","14,036","6,896","1,202",31,"332,833","332,833","13,775","22,979","56,268","56,509","46,186","51,806","45,939","25,799","11,834","1,690",48,"159,324","159,324","7,040","11,585","25,766","28,076","22,609","25,084","22,040","11,706","4,919",482,17,"173,509","173,509","6,735","11,394","30,502","28,433","23,577","26,722","23,899","14,093","6,915","1,208",31,"332,497","332,497","13,695","22,964","56,044","56,520","46,151","51,609","45,941","25,941","11,873","1,710",49,"159,190","159,190","6,988","11,581","25,702","28,075","22,597","24,970","22,074","11,758","4,943",485,17,"173,307","173,307","6,707","11,383","30,342","28,445","23,554","26,639","23,867","14,183","6,930","1,225",32,"332,072","332,072","13,629","22,926","55,800","56,545","46,076","51,484","45,899","26,096","11,831","1,741",45,"158,955","158,955","6,960","11,560","25,576","28,046","22,547","24,950","22,054","11,834","4,925",489,14,"173,117","173,117","6,669","11,366","30,224","28,499","23,529","26,534","23,845","14,262","6,906","1,252",31
6,동대문구,"342,316","342,316","17,309","22,959","55,688","51,309","47,453","52,309","48,465","30,047","14,779","1,945",53,"167,276","167,276","8,784","11,574","26,173","26,260","24,347","26,382","23,726","13,541","5,918",559,12,"175,040","175,040","8,525","11,385","29,515","25,049","23,106","25,927","24,739","16,506","8,861","1,386",41,"342,258","342,258","17,284","22,901","55,533","51,482","47,397","52,256","48,406","30,113","14,878","1,955",53,"167,256","167,256","8,778","11,579","26,101","26,338","24,303","26,346","23,691","13,579","5,967",562,12,"175,002","175,002","8,506","11,322","29,432","25,144","23,094","25,910","24,715","16,534","8,911","1,393",41,"342,354","342,354","17,227","22,879","55,485","51,610","47,336","52,249","48,440","30,198","14,913","1,961",56,"167,257","167,257","8,740","11,559","26,101","26,379","24,256","26,342","23,715","13,611","5,975",566,13,"175,097","175,097","8,487","11,320","29,384","25,231","23,080","25,907","24,725","16,587","8,938","1,395",43,"343,695","343,695","17,287","22,922","55,564","52,128","47,577","52,350","48,502","30,338","14,996","1,974",57,"167,750","167,750","8,767","11,563","26,100","26,565","24,351","26,394","23,732","13,691","6,001",572,14,"175,945","175,945","8,520","11,359","29,464","25,563","23,226","25,956","24,770","16,647","8,995","1,402",43,"344,481","344,481","17,380","22,884","55,623","52,503","47,556","52,398","48,557","30,482","15,033","2,007",58,"168,108","168,108","8,828","11,532","26,130","26,741","24,330","26,424","23,734","13,787","6,008",580,14,"176,373","176,373","8,552","11,352","29,493","25,762","23,226","25,974","24,823","16,695","9,025","1,427",44,"344,572","344,572","17,317","22,813","55,563","52,760","47,525","52,264","48,529","30,646","15,086","2,011",58,"168,148","168,148","8,808","11,526","26,060","26,893","24,302","26,344","23,742","13,852","6,024",583,14,"176,424","176,424","8,509","11,287","29,503","25,867","23,223","25,920","24,787","16,794","9,062","1,428",44
7,중랑구,"377,768","377,768","17,177","23,214","46,531","58,108","51,234","62,822","64,098","36,342","16,055","2,127",60,"184,714","184,714","8,730","11,922","22,031","29,599","26,697","31,022","31,034","16,637","6,492",539,11,"193,054","193,054","8,447","11,292","24,500","28,509","24,537","31,800","33,064","19,705","9,563","1,588",49,"377,566","377,566","17,112","23,213","46,367","58,086","51,126","62,655","64,106","36,541","16,145","2,154",61,"184,552","184,552","8,705","11,917","21,907","29,604","26,617","30,937","31,013","16,762","6,532",546,12,"193,014","193,014","8,407","11,296","24,460","28,482","24,509","31,718","33,093","19,779","9,613","1,608",49,"377,473","377,473","17,048","23,202","46,173","58,172","51,064","62,564","64,102","36,696","16,218","2,173",61,"184,512","184,512","8,681","11,916","21,786","29,675","26,581","30,870","31,041","16,827","6,571",551,13,"192,961","192,961","8,367","11,286","24,387","28,497","24,483","31,694","33,061","19,869","9,647","1,622",48,"377,334","377,334","17,019","23,191","45,900","58,211","51,066","62,462","64,067","36,865","16,305","2,185",63,"184,437","184,437","8,646","11,910","21,655","29,717","26,615","30,781","31,031","16,902","6,609",558,13,"192,897","192,897","8,373","11,281","24,245","28,494","24,451","31,681","33,036","19,963","9,696","1,627",50,"377,278","377,278","16,937","23,182","45,697","58,303","51,028","62,310","64,168","37,023","16,369","2,198",63,"184,356","184,356","8,604","11,911","21,550","29,752","26,592","30,688","31,101","16,957","6,622",566,13,"192,922","192,922","8,333","11,271","24,147","28,551","24,436","31,622","33,067","20,066","9,747","1,632",50,"377,101","377,101","16,863","23,152","45,429","58,387","51,037","62,149","64,126","37,301","16,366","2,227",64,"184,274","184,274","8,574","11,895","21,455","29,766","26,609","30,600","31,084","17,080","6,623",575,13,"192,827","192,827","8,289","11,257","23,974","28,621","24,428","31,549","33,042","20,221","9,743","1,652",51
8,성북구,"421,599","421,599","22,017","34,270","63,156","55,803","60,346","70,723","58,495","35,784","18,372","2,560",73,"201,755","201,755","11,293","17,289","29,493","28,003","29,732","34,853","27,473","15,668","7,220",714,17,"219,844","219,844","10,724","16,981","33,663","27,800","30,614","35,870","31,022","20,116","11,152","1,846",56,"423,045","423,045","22,134","34,252","63,183","56,215","60,489","71,001","58,639","36,018","18,468","2,571",75,"202,387","202,387","11,348","17,292","29,483","28,161","29,802","34,960","27,552","15,765","7,281",726,17,"220,658","220,658","10,786","16,960","33,700","28,054","30,687","36,041","31,087","20,253","11,187","1,845",58,"424,030","424,030","22,080","34,243","63,368","56,432","60,524","71,220","58,736","36,210","18,561","2,583",73,"202,828","202,828","11,339","17,305","29,516","28,283","29,818","35,079","27,585","15,846","7,312",729,16,"221,202","221,202","10,741","16,938","33,852","28,149","30,706","36,141","31,151","20,364","11,249","1,854",57,"424,247","424,247","21,961","34,263","63,308","56,629","60,421","71,293","58,768","36,286","18,642","2,603",73,"202,853","202,853","11,289","17,274","29,473","28,405","29,749","35,084","27,608","15,876","7,346",734,15,"221,394","221,394","10,672","16,989","33,835","28,224","30,672","36,209","31,160","20,410","11,296","1,869",58,"424,129","424,129","21,859","34,214","63,319","56,702","60,288","71,180","58,739","36,420","18,689","2,648",71,"202,781","202,781","11,248","17,263","29,485","28,423","29,692","34,984","27,614","15,942","7,365",750,15,"221,348","221,348","10,611","16,951","33,834","28,279","30,596","36,196","31,125","20,478","11,324","1,898",56,"423,991","423,991","21,737","34,129","63,237","56,830","60,167","71,115","58,736","36,614","18,670","2,683",73,"202,601","202,601","11,173","17,222","29,421","28,453","29,642","34,937","27,595","16,042","7,343",758,15,"221,390","221,390","10,564","16,907","33,816","28,377","30,525","36,178","31,141","20,572","11,327","1,925",58
9,강북구,"282,202","282,202","10,138","18,390","35,667","34,475","37,238","49,422","47,772","31,350","15,837","1,868",45,"136,013","136,013","5,192","9,293","16,708","18,120","19,347","24,440","22,655","13,506","6,198",545,9,"146,189","146,189","4,946","9,097","18,959","16,355","17,891","24,982","25,117","17,844","9,639","1,323",36,"281,607","281,607","10,035","18,345","35,451","34,327","37,115","49,316","47,751","31,383","15,963","1,874",47,"135,710","135,710","5,138","9,280","16,591","18,028","19,296","24,397","22,667","13,527","6,228",549,9,"145,897","145,897","4,897","9,065","18,860","16,299","17,819","24,919","25,084","17,856","9,735","1,325",38,"281,288","281,288","9,986","18,272","35,322","34,324","37,010","49,236","47,705","31,494","16,012","1,881",46,"135,541","135,541","5,108","9,250","16,516","18,014","19,234","24,374","22,681","13,579","6,229",548,8,"145,747","145,747","4,878","9,022","18,806","16,310","17,776","24,862","25,024","17,915","9,783","1,333",38,"280,813","280,813","9,912","18,187","35,146","34,280","36,882","49,179","47,667","31,562","16,055","1,895",48,"135,251","135,251","5,070","9,211","16,408","17,985","19,170","24,339","22,671","13,575","6,259",555,8,"145,562","145,562","4,842","8,976","18,738","16,295","17,712","24,840","24,996","17,987","9,796","1,340",40,"280,514","280,514","9,849","18,143","35,054","34,243","36,727","49,043","47,699","31,660","16,127","1,922",47,"135,072","135,072","5,038","9,197","16,329","17,973","19,089","24,293","22,684","13,612","6,289",561,7,"145,442","145,442","4,811","8,946","18,725","16,270","17,638","24,750","25,015","18,048","9,838","1,361",40,"280,068","280,068","9,791","18,043","34,845","34,268","36,597","48,912","47,662","31,813","16,150","1,945",42,"134,794","134,794","5,006","9,159","16,181","17,995","19,016","24,227","22,647","13,706","6,284",568,5,"145,274","145,274","4,785","8,884","18,664","16,273","17,581","24,685","25,015","18,107","9,866","1,377",37
10,도봉구,"302,188","302,188","12,536","21,409","34,954","37,379","40,220","53,000","53,198","31,748","15,509","2,173",62,"145,926","145,926","6,446","11,090","17,157","19,194","20,184","25,458","24,958","14,614","6,217",594,14,"156,262","156,262","6,090","10,319","17,797","18,185","20,036","27,542","28,240","17,134","9,292","1,579",48,"301,859","301,859","12,409","21,382","34,783","37,336","40,065","52,922","53,185","31,923","15,604","2,187",63,"145,796","145,796","6,402","11,074","17,085","19,198","20,116","25,431","24,931","14,696","6,253",597,13,"156,063","156,063","6,007","10,308","17,698","18,138","19,949","27,491","28,254","17,227","9,351","1,590",50,"301,554","301,554","12,290","21,366","34,625","37,296","39,999","52,827","53,124","32,079","15,694","2,191",63,"145,641","145,641","6,348","11,081","16,984","19,181","20,078","25,405","24,895","14,769","6,284",602,14,"155,913","155,913","5,942","10,285","17,641","18,115","19,921","27,422","28,229","17,310","9,410","1,589",49,"301,161","301,161","12,198","21,307","34,411","37,250","39,947","52,685","53,121","32,223","15,742","2,212",65,"145,399","145,399","6,296","11,053","16,881","19,143","20,049","25,345","24,904","14,804","6,306",604,14,"155,762","155,762","5,902","10,254","17,530","18,107","19,898","27,340","28,217","17,419","9,436","1,608",51,"300,879","300,879","12,114","21,248","34,259","37,220","39,887","52,549","53,126","32,380","15,798","2,230",68,"145,279","145,279","6,274","11,020","16,799","19,130","20,034","25,304","24,880","14,868","6,356",601,13,"155,600","155,600","5,840","10,228","17,460","18,090","19,853","27,245","28,246","17,512","9,442","1,629",55,"300,820","300,820","12,033","21,258","34,033","37,250","39,862","52,454","53,171","32,600","15,832","2,256",71,"145,194","145,194","6,213","11,037","16,676","19,124","20,023","25,254","24,888","14,992","6,360",613,14,"155,626","155,626","5,820","10,221","17,357","18,126","19,839","27,200","28,283","17,608","9,472","1,643",57
11,노원구,"488,995","488,995","23,756","45,395","63,324","60,563","70,709","85,407","72,781","43,169","20,552","3,244",95,"234,207","234,207","12,199","23,525","32,013","30,494","33,800","41,074","33,655","19,067","7,550",814,16,"254,788","254,788","11,557","21,870","31,311","30,069","36,909","44,333","39,126","24,102","13,002","2,430",79,"488,062","488,062","23,649","45,174","63,083","60,639","70,391","85,170","72,723","43,256","20,626","3,255",96,"233,715","233,715","12,147","23,375","31,869","30,564","33,678","40,955","33,617","19,102","7,577",815,16,"254,347","254,347","11,502","21,799","31,214","30,075","36,713","44,215","39,106","24,154","13,049","2,440",80,"487,216","487,216","23,539","44,946","62,807","60,717","70,134","85,040","72,596","43,398","20,686","3,255",98,"233,269","233,269","12,090","23,254","31,675","30,599","33,562","40,903","33,584","19,170","7,600",816,16,"253,947","253,947","11,449","21,692","31,132","30,118","36,572","44,137","39,012","24,228","13,086","2,439",82,"486,173","486,173","23,414","44,728","62,357","60,712","69,796","84,939","72,577","43,524","20,768","3,262",96,"232,753","232,753","12,028","23,164","31,417","30,628","33,404","40,831","33,584","19,210","7,644",827,16,"253,420","253,420","11,386","21,564","30,940","30,084","36,392","44,108","38,993","24,314","13,124","2,435",80,"485,458","485,458","23,282","44,567","62,076","60,692","69,579","84,731","72,588","43,740","20,807","3,300",96,"232,349","232,349","11,959","23,064","31,247","30,620","33,296","40,726","33,611","19,296","7,679",835,16,"253,109","253,109","11,323","21,503","30,829","30,072","36,283","44,005","38,977","24,444","13,128","2,465",80,"485,526","485,526","23,214","44,592","62,107","60,792","69,492","84,512","72,587","44,043","20,748","3,343",96,"232,341","232,341","11,934","23,077","31,241","30,656","33,262","40,605","33,616","19,428","7,659",847,16,"253,185","253,185","11,280","21,515","30,866","30,136","36,230","43,907","38,971","24,615","13,089","2,496",80
